title,url,content																					
2024 Run Rabbit Run 100 Mile Results: Mann Sets Course Record and Lockwood Secures Second Victory,https://www.irunfar.com/2024-run-rabbit-run-100-mile-results,"TheRun Rabbit Run 100 Milehas been a quintessential American fall 100 miler for years, both for its mountain fall scenery and competitive dynamics, and the 2024 edition was no different. In the menâ€™s race,Richard Lockwoodran away with his second win, backing up his 2022 victory with an even faster and more dominant performance. In the womenâ€™s race, CanadianEmilie Mannset a new course record by running 19:48:05, in doing so bestingMichele Yatesâ€™smark of 20:16:54, which had stood since 2013, by more than 27 minutes.																					
For 2024, the event experienced good weather, with warm daytime conditions leading to a cool to cold night, all normal for a mid-September weekend in Steamboat Springs, Colorado.																					
The Run Rabbit Run 100 Mile course is about 101.5 miles long, with 20,300 feet of climbing, and takes place at altitudes ranging from about 6,600 to 10,600 feet.																					
Uniquely, this event hosts two starts, one for the speedier â€œharesâ€ and another for the steady â€œtortoises.â€ The haresâ€™ race began on Friday, September 13, at 1 p.m. local time and had a 30-hour cutoff.																					
Also uniquely, this event hosts a huge prize purse â€” over $100,000 in total â€” with $15,000 going to the menâ€™s and womenâ€™s winners, prize money seven deep in both races, and a host of other dollars doled out for preems, a team event, masters and senior runners, and more.																					
The start of the 2024 Run Rabbit Run 100 Mile. Photo: Kellie Thompson/Hidden Antelope Photography/@hiddenantelope																					
In the early race miles, eventual menâ€™s champ and 2022 victorRichard Lockwoodseemed content to run as either the leader or a close chaser. To those of us watching from the outside, he seemed to be patiently passing the miles until the other men around him dropped back one by one. The last man fell behind somewhere before mile 71, and from there, Lockwood exerted utter dominance over the menâ€™s field. His lead grew slowly at first, and rapidly in the raceâ€™s final miles, until he crossed the line in 17:24:41. This was about 47 minutes clear of the second man and 35 minutes faster thanhis 2022 victory.																					
Richard Lockwood, 2024 Run Rabbit Run 100 Mile menâ€™s champion, greeted at the finish by race director Fred Abramowitz. Photo: Kellie Thompson/Hidden Antelope Photography/@hiddenantelope																					
Menâ€™s second-place finisherAdam Loomisavenged a drop at this event last year with a solid start-to-finish performance that saw him pushing the menâ€™s leaders in the raceâ€™s first half before clearly demarcating the second-place position in the raceâ€™s final third. His 18:12:17 was well clear of third place.																					
With three prior finishes at this event, including fifth and sixth places,Christopher Hammesknows how to run this race. Letting some of the racing games happen around him while running in the middle of the menâ€™s top 10 for most of the race, he moved into his ultimate third-place position after mile 82 to finish in 18:56:34, close to an hour faster than his best prior finish. This follows a win at the 2024 High Lonesome 100 Mile less than two months ago.																					
Tyler GreenandNicholas Lightbodyrounded out the menâ€™s top five. With this finish, Green caps off a summer 100-mile double that saw him take seventh at the 2024 Western States 100 before finishing fourth at this race, and Lightbody continuing to develop his trail-ultra career, following up on sixth at the Black Canyon 60k and second at the Canyons by UTMB 100 Mile in 2024.																					
Full results.																					
In winning the womenâ€™s race,Emilie Mannof Canada made event history, setting a new course record and besting a record time that had stood for 11 years. Her approach was to chill among the lead women early, run a steady middle race, and totally slay the final miles. At the top of the first climb, Mann arrived among a passel of fast women, running a minute and change behind earliest leader and course record holderMichele Yates. As late as mile 89, Mann was still running in second place behind then-leaderLeah Yinglingbefore assuming the lead, running away with things, and finishing in 19:48:05, a win of over 30 minutes.																					
Second-place Yingling put up a heckuva fight, running among the top women early, assuming the womenâ€™s lead for some of the raceâ€™s middle to late miles, and ultimately taking second in 20:19:24, just 2.5 minutes shy of the prior course record. This possibly closes a big year of racing for Yingling, which has included participating in the lululemon FURTHER six-day event in the spring and taking 10th at the 2024 Western States 100 in the summer.																					
Shea Aquilanocrossed the line to finish in third place in the womenâ€™s race, but was marked later as a DNF. Her social media explains that she went off course for about two miles, but didnâ€™t know until after the finish.																					
Barrett Graywas, thus, retroactively moved up into third position, in what looks to be her 100-mile debut.																					
Nicole Laughtontook fourth, whileStacey Marionwas the fifth woman. For Laughton, this performance follows up on past wins at events like the Rocky Raccoon 100 Mile and Arkansas Traveler 100 Mile in recent years. And Marion caps off a big summer here following a finish at the Broken Arrow Skyrace 46k and a win at the Tushars Mountain Runs 100k.																					
Emilie Mann, 2024 Run Rabbit Run 100 Mile womenâ€™s champ, on the first climb. Photo: Kellie Thompson/Hidden Antelope Photography/@hiddenantelope																					
Full results.																					
Related articles:"																					
2024 UTMB Results: A Course Record for Schide and a Surprise Win for Bouillard,https://www.irunfar.com/2024-utmb-results,"For the front of the field, the 2024UTMBis already history. The iconic UTMB course, with its 176 kilometers (109.3 miles) and almost 10,000 meters (32,500 feet) of elevation gain, has crowned new champions, as more than 2,500 runners try to encircle the Mont Blanc massif from Chamonix, France, through Italy and Switzerland, before finishing back in Chamonix.																					
In the womenâ€™s race, AmericanKatie Schidemade sure there were no similar surprises at the top of the podium. In a commanding, nearly wire-to-wire victory, Schide crossed the finish line in 22:09:31 to breakCourtney Dauwalterâ€™scourse record by 21 minutes, secure her second win at UTMB, and complete the Western States 100-UTMB double in the span of just over two months.																					
â€œWhen I went out fast this year, I wasnâ€™t afraid like I was in 2022,â€ Schide said after the race, referring to the first year she won UTMB. â€œFrom two more years of training, I had the confidence to run my splits.â€																					
Katie Schide claiming her second UTMB win in three years, this time in course-record time. Photo: iRunFar/Meghan Hicks																					
KiwiRuth Croftand CanadianMarianne Hoganfinished in second and third, respectively, for a strong podium.																					
At the finish line in Chamonix,Vincent Bouillardput his hands on his head in disbelief and smiled toward the crowd: He had done it.																					
In one of the biggest â€” and most unexpected â€” breakthroughs in the history of the storied race, Bouillard, an unsponsored Frenchman who works in research and development for Hoka, won the 2024 UTMB in 19:54:23, to become the fifth runner to break the mythical 20-hour mark and cement his name in race lore.																					
â€œWinning UTMB was never expected,â€ said Bouillard, a former track and field athlete turned trail runner. â€œIâ€™ve been coming to this race since almost the beginning for my work, but only in my wildest dreams would I win it.â€																					
Vincent Bouillard after becoming the unlikely champion of the 2024 UTMB. Photo: iRunFar/Meghan Hicks																					
Those wildest dreams became reality on a hot day in France, which saw several of the pre-race favorites, including AmericanJim Walmsley, the U.K.â€™sTom Evans, and FrenchmanGermain Grangier, drop out. Bouillard, along with second- and third-place finishersBaptiste Chassagneof France andJoaquÃ­n LÃ³pezof Ecuador but living in Spain, took advantage of the opportunity to complete a podium that perhaps not many people predicted. But that, of course, is the beauty of ultrarunning, especially at a race as competitive and deep as UTMB.																					
A special thanks toHOKAfor making our coverage of UTMB possible!																					
Read on for full race details.																					
You can also check out more results from the weekâ€™s UTMB Mont Blanc festival:																					
After finally breaking through to become the first American man to win UTMB last year â€” with a course record, no less â€”Jim Walmsley(pre-race interview) entered this yearâ€™s race as one of the clear favorites. He had also won, for the fourth time, the Western States 100 in late June to set up an attempt to become the first man sinceKilian Jornetin 2011 to win the Western States 100-UTMB double.																					
In his pre-race interview, Walmsley projected calmness and perspective. â€œThe cards that I have in my hand this year are different,â€ he said, â€œbut also, I wouldnâ€™t be lining up if I didnâ€™t think I had a chance to compete up front.â€																					
And for nearly nine hours, thatâ€™s exactly what he did. Walmsley, wearing bib No. 2, started with the pack but took the lead by 35k as the climbing â€” and night â€” set in. He ran at the front for the next several hours, stopping for two minutes at the Les Chapieux aid station (51k), and came into Lac Combal (70k) looking strong and still in the lead, leaving in less than 90 seconds.																					
The start of the 2024 UTMB. Photo: iRunFar/Kirsten Kortebein																					
But between there and Courmayeur at 83k, he began to struggle, dropping nine places to 10th and 13 minutes off the lead. As he entered the large aid station that serves as the near halfway point of the race, he looked rough. While the race leaders were efficient with their stops, Walmsley sat to eat for a relatively long time and did not look like he wanted to get up. He would later officially drop, a tough conclusion to a promising race for the champion. Winning the Western States 100-UTMB double still seems to be one of the most challenging feats in menâ€™s ultrarunning.																					
â€œJim has been struggling to shake a knee injury since Western States,â€ reada post on his Instagram story, â€œbut wanted to give himself the chance to see what the day would give him.â€																					
Walmsley was not the only of the pre-race favorites to drop out. The U.K.â€™sTom Evans(pre-race interview) â€” who followed up a third-place finish at the 2022 UTMB by winning the Western States 100 last year â€” had a very similar race to Walmsley, running near the front for the first half of the race and entering Courmayeur in second. He was part of a large chase pack that had passed Walmsley by 83k and spent less than three minutes at the large aid station, leaving in third behind FrenchmanGermain Grangier(pre-race interview) and eventual championVincent Bouillard(post-race interview), another Frenchman.																					
Jim Walmsley and Tom Evans leading the 2024 UTMB in Les Contamines at 31k. Photo: iRunFar/Eszter Horanyi																					
By Refuge Bertone at 88k, though, he began to look fatigued and though he remained in the top five until 101k, by Grand Col Ferret at 106k he had dropped 23 places to 28th. He would also later drop â€” another top contender out of the race.																					
â€œTom has sadly had to withdraw. He is okay and with family and friends,â€ read apost on his Instagram story. â€œFueling became an issue through the night and you canâ€™t run this race on empty.â€																					
The carnage, unfortunately, did not stop there, either. Grangier looked strong for more than 115k, running in second and charging up the hill at Grand Col Ferret at 106k and looking calm at La Fouly 10 kilometers later, only six minutes behind Bouillard. He stayed in second as the morning came, but looked fatigued by Trient at 146k, where he would also drop.																					
FrenchmenMathieu Blanchard, who famously battled Jornet at the2022 UTMB for a second-place finish, andAurÃ©lien Dunand-Pallaz(pre-race interview), whowon both the Hardrock 100and Diagonal des Fous in 2023, both dropped at 69k, while Spainâ€™sPau Capell, the2019 UTMB winner, dropped at Courmayeur like Walmsley.																					
Germain Grangier runs into Champex-Lac during (128.5k) the 2024 UTMB. He would drop late in the race. Photo: iRunFar/Eszter Horanyi																					
None of this is to take away from the brilliance of Bouillard or the other top finishers, who survived the historic carnage and heat to come away with some performances of a lifetime.																					
It starts and ends, of course, with Bouillard, who was on few peopleâ€™s radar when the race began. Last year, Bouillard, who does not even have a photo on hisofficial UTMB page, won the Kodiak 100 mile and Gorge Waterfall 100k, but few expected him to compete at the worldâ€™s most competitive trail race.																					
He did exactly that. Wearing bib No. 139, Bouillard ran in the lead pack at the start of the race, coming through Refuge de la Croix du Bonhomme at 46k in ninth, and methodically working his way up to the front, entering Lac Combal at 70k in second. By Courmayeur, he had taken the lead and spent less than three minutes refueling before heading back into the early morning darkness.																					
From there, he would not relinquish the lead, running the rest of the race relatively unchallenged as he continued to look strong and smooth as the sun rose. Later in the morning, he would cross the finish line to seal a strong and surprising win.																					
Menâ€™s champion Vincent Bouillard descends into Vallorcine (158k), on his way to winning the 2024 UTMB. Photo: iRunFar/Sarah Brady																					
While Bouillard won by nearly 30 minutes, there was a true race behind him. Franceâ€™sBaptiste Chassagne(post-race interview) ran in the top 20 for most of the first 60k and entered Courmayeur in 11th. By 129k, he and fellow FrenchmanArthur Joyeux-Bouillon, who had taken the opposite approach by running at or near the front from the start, were within seconds of each other in fourth and fifth place, respectively, and 34 minutes behind Bouillard. Chassagne continued to look and run strong, entering Trient at 146k in second just ahead of the Ecuadorian living in Spain,JoaquÃ­n LÃ³pez(post-race interview), where he would remain until he crossed the finish line in 20:22:45 for his most impressive finish of his six-year streak of a top 10 at a UTMB Mont Blanc festival race.																					
Baptiste Chassagne was pretty stoked to take second at the 2024 UTMB. Photo: iRunFar/Meghan Hicks																					
LÃ³pez, meanwhile, had a very similar race to Chassagne, running in the top 30 at the start of the race before moving into 10th position by the time he left Courmayeur. Over the final half of the race, he moved up even further, and was just four minutes behind Chassagne at 161k. He could not ultimately catch him, but he did hold off Germanyâ€™sHannes Namberger(pre-race interview) to finish third in 20:26:22.																					
Joaquin Lopez at Champex-Lac (128.5k), on his way to finishing in third place at the 2024 UTMB. Photo: iRunFar/Eszter Horanyi																					
